"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"File","Print","Ctrl+P","In Windows"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Edit","Context Information","Alt+?","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Edit","Delete","Delete","In Windows"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Window","Quick Access","Ctrl+3","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
